Symbol;Company Name;sector;ISIN;ICB_SectorL4;ICB5_SectorL4
PODD;INSULET CORP;XLV;US45784P1012;4535;20102015
REGN;Regeneron Pharmaceuticals Inc;XLV;US75886F1075;4573;20103010
RMD;ResMed Inc;XLV;US7611521078;4535;20102010
RVTY;Revvity, Inc.;XLV;#N/D;9537;#N/D
SOLV;Solventum Corp.;XLV;#N/D;9537;#N/D
STE;STERIS plc;XLV;IE00BFY8C754;4535;20102010
SYK;Stryker Corp;XLV;US8636671013;4535;20102010
TECH;Bio-Techne Corp;XLV;US09073M1045;4537;20102015
TFX;Teleflex Inc;XLV;US8793691069;4537;20102015
TMO;Thermo Fisher Scientific;XLV;US8835561023;4535;20102010
UHS;Universal Health Services B;XLV;US9139031002;4533;20101010
UNH;Unitedhealth Group Inc;XLV;US91324P1021;4533;20101020
VRTX;Vertex Pharmaceuticals Inc;XLV;US92532F1003;4577;20103015
VTRS;Viatris Inc;XLV;#N/D;9537;#N/D
WAT;Waters Corp;XLV;US9418481035;2737;20102010
WST;West Pharmaceutical Services Inc;XLV;US9553061055;4537;20102015
ZBH;Zimmer Biomet Holdings Inc;XLV;US98956P1021;4535;20102010
ZTS;Zoetis Inc;XLV;US98978V1035;4577;20103015
ABNB;Airbnb, Inc. Class A;XLY;#N/D;5759;#N/D
AMZN;Amazon.com Inc;XLY;US0231351067;5373;40401010
APTV;Aptiv plc;XLY;JE00B783TY65;3355;40101025
AZO;AutoZone Inc;XLY;US0533321024;5379;40401030
BBY;Best Buy Co Inc;XLY;US0865161014;5379;40401030
BKNG;Booking Holdings Inc;XLY;US09857L1089;5759;40501015
BWA;Borgwarner Inc;XLY;US0997241064;3355;40101025
CCL;Carnival Corp;XLY;PA1436583006;5759;40501015
CMG;Chipotle Mexican Grill Inc.;XLY;US1696561059;5757;40501040
CZR;Caesars Entertainment, Inc.;XLY;US12769G1004;5752;40501020
DECK;Deckers Outdoor;XLY;US2435371073;3765;40204025
DHI;Horton D.R. Inc;XLY;US23331A1097;3728;40202010
DPZ;Domino's Pizza Inc;XLY;US25754A2015;5757;40501040
DRI;Darden Restaurants Inc;XLY;US2371941053;5757;40501040
EBAY;eBay Inc.;XLY;US2786421030;5377;40201070
EXPE;Expedia Group, Inc.;XLY;US30212P3038;5759;40501015
F;Ford Motor Co;XLY;US3453708600;3353;40101020
GM;General Motors Company;XLY;US37045V1008;3353;40101020
GPC;Genuine Parts Co;XLY;US3724601055;3355;40101025
GRMN;Garmin Ltd;XLY;CH0114405324;3743;40203010
HAS;Hasbro Inc;XLY;US4180561072;3747;40203045
HD;Home Depot Inc;XLY;US4370761029;5375;40401025
HLT;Hilton Worldwide Holdings  Inc;XLY;US43300A2033;5753;40501025
KMX;Carmax Inc;XLY;US1431301027;5379;40401030
LEN;Lennar Corp A;XLY;US5260571048;3728;40202010
LKQ;LKQ Corp;XLY;US5018892084;3355;40101025
LOW;Lowe's Cos Inc;XLY;US5486611073;5375;40401025
LULU;Lululemon Athletica inc;XLY;US5500211090;3763;40204020
LVS;Las Vegas Sands;XLY;US5178341070;5752;40501020
MAR;Marriott Intl A;XLY;US5719032022;5753;40501025
MCD;McDonald's Corp;XLY;US5801351017;5757;40501040
MGM;MGM Resorts International;XLY;US5529531015;5752;40501020
MHK;Mohawk Industries Inc;XLY;US6081901042;3726;40202015
NCLH;Norwegian Cruise Line Holdings Ltd;XLY;BMG667211046;5755;40501015
NKE;NIKE Inc B;XLY;US6541061031;3765;40204025
NVR;NVR Inc;XLY;US62944T1051;3728;40202010
ORLY;O'Reilly Automotive;XLY;US67103H1077;5379;40401030
PHM;Pulte Group Inc;XLY;US7458671010;3728;40202010
POOL;Pool Corp;XLY;US73278L1052;3745;40203050
RCL;Royal Caribbean Group;XLY;LR0008862868;5755;40501015
RL;Ralph Lauren Corp A;XLY;US7512121010;3763;40204020
ROST;Ross Stores Inc;XLY;US7782961038;5371;40401020
SBUX;Starbucks Corp;XLY;US8552441094;5757;40501040
TJX;TJX Cos Inc;XLY;US8725401090;5371;40401020
TPR;Tapestry, Inc;XLY;US8760301072;3763;40204020
TSCO;Tractor Supply Co;XLY;US8923561067;5379;40401030
TSLA;Tesla, Inc;XLY;US88160R1014;3353;40101020
ULTA;Ulta Beauty, Inc;XLY;US90384S3031;5379;40401030
WYNN;Wynn Resorts Ltd;XLY;US9831341071;5752;40501020
YUM;Yum! Brands Inc;XLY;US9884981013;5757;40501040
